City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
176,n'zeto,-7.2316,12.8685,26.200000000000045,85,69,1.83,AO,1702593197
177,maumere,-8.6256,122.2193,28.090000000000032,76,82,2.12,ID,1702593198
178,anadyr,64.7317,177.5061,-9.069999999999993,85,75,14.0,RU,1702593199
179,kaspiyskiy,46.2017,47.9202,-10.009999999999991,79,0,5.0,RU,1702593200
180,ulsteinvik,62.3427,5.8469,6.080000000000041,84,92,7.6,NO,1702593201
181,carolina beach,34.0352,-77.8936,9.480000000000018,43,0,5.72,US,1702593202
182,kyabe,9.4539,18.9443,23.99000000000001,24,46,2.22,TD,1702593203
183,petropavlovsk-kamchatsky,53.02,158.6471,-2.9399999999999977,73,100,12.07,RU,1702593205
184,mendoza,-32.8894,-68.8446,37.620000000000005,19,40,4.63,AR,1702593206
185,foso,-29.2686,27.5741,16.260000000000048,77,100,2.81,LS,1702593207
186,nemuro,43.3301,145.5829,-2.9699999999999704,66,55,7.52,JP,1702593209
187,mahdia,35.457,1.7415,3.4600000000000364,85,22,3.48,DZ,1702593210
188,mukah,2.893,112.0913,25.370000000000005,90,76,1.56,MY,1702593211
189,jose mariano jimenez,27.1256,-104.9119,20.439999999999998,38,0,7.14,MX,1702593212
190,prado,41.9204,-5.4204,5.600000000000023,74,22,1.26,ES,1702593213
191,mount gambier,-37.8247,140.782,15.0,72,100,2.71,AU,1702593214
192,skeldon,5.8847,-57.1414,25.950000000000045,86,66,3.39,GY,1702593215
193,gao,16.2788,-0.0412,19.52000000000004,17,5,5.05,ML,1702593216
194,rockingham,43.18,-72.5006,-0.9099999999999682,68,0,1.54,US,1702593218
195,vorgashor,67.5812,63.7837,-18.639999999999986,99,97,2.17,RU,1702593219
196,bulungu,-6.0556,21.9022,20.110000000000014,97,98,0.72,CD,1702593220
197,kegen,43.0217,79.2232,-21.69999999999999,68,1,3.98,KZ,1702593221
198,mahanje,-9.8894,35.2776,18.970000000000027,85,10,1.73,TZ,1702593222
199,san luis de la loma,17.2706,-100.8939,28.150000000000034,68,100,1.08,MX,1702593223
200,calama,-22.4624,-68.9272,25.220000000000027,7,0,10.29,CL,1702592638
201,fisterra,42.9065,-9.2638,11.57000000000005,79,31,3.46,ES,1702593225
202,kingscliff,-28.2567,153.5761,27.950000000000045,61,40,3.09,AU,1702593226
203,yaren,-0.5471,166.9164,29.010000000000048,77,98,7.15,NR,1702593227
204,nelson bay,-32.7218,152.1441,24.340000000000032,82,59,2.68,AU,1702593228
205,constantia,44.1767,28.6508,7.7000000000000455,86,100,4.52,RO,1702593230
206,coari,-4.0886,-63.1431,24.700000000000045,97,100,1.53,BR,1702593231
207,lompoc,34.6392,-120.4579,23.77000000000004,48,0,4.63,US,1702593232
208,chonchi,-42.624,-73.7724,12.510000000000048,78,100,4.31,CL,1702593233
209,oltinko'l,40.24,68.1511,0.18999999999999773,56,100,2.16,UZ,1702593233
210,weno,7.4401,151.857,27.470000000000027,79,75,5.14,FM,1702593234
211,galesong,-5.3342,119.381,25.02000000000004,80,60,2.77,ID,1702593235
212,norderney,53.7124,7.234,5.550000000000011,96,100,6.75,DE,1702593236
213,klyuchi,56.3182,160.8422,-8.769999999999982,84,98,0.45,RU,1702593237
214,prien,47.8542,12.3455,4.420000000000016,98,100,2.16,DE,1702593237
215,karratha,-20.737,116.8479,26.650000000000034,67,28,5.26,AU,1702593225
216,san jose del guaviare,2.5716,-72.6427,27.160000000000025,75,96,1.09,CO,1702593239
217,fortaleza,-3.7305,-38.5218,29.400000000000034,74,20,4.63,BR,1702593061
218,north shore,40.4474,-80.0079,7.010000000000048,47,0,3.6,US,1702593241
219,kataragama,6.4136,81.3324,23.660000000000025,94,100,3.66,LK,1702593242
220,charters towers,-20.0714,146.271,24.28000000000003,79,100,6.0,AU,1702593243
221,jianguang,28.1982,115.7811,12.379999999999995,74,54,6.84,CN,1702593244
222,viedma,-40.8084,-62.9947,18.590000000000032,78,100,9.82,AR,1702593245
223,boonville,38.9752,-92.744,13.460000000000036,48,0,2.06,US,1702593247
224,tura,47.39,0.6889,8.510000000000048,91,100,2.57,FR,1702593248
225,bredasdorp,-34.5331,20.0428,15.730000000000018,66,61,1.97,ZA,1702593249
226,thinadhoo,0.5326,72.9971,28.230000000000018,73,86,2.89,MV,1702593250
227,kavaratti,10.5672,72.6395,27.890000000000043,73,100,1.87,IN,1702593251
228,gamba,28.2764,88.5165,-9.099999999999966,42,9,1.72,CN,1702593252
229,westport,41.1414,-73.3553,3.3500000000000227,59,7,0.45,US,1702593204
230,sena madureira,-9.066,-68.6571,27.110000000000014,79,93,1.69,BR,1702593254
231,jwaneng,-24.6004,24.7303,21.610000000000014,68,100,5.04,BW,1702593255
232,lihue,21.977,-159.3688,24.660000000000025,60,100,12.35,US,1702593256
233,san antonio de pale,-1.4046,5.6326,27.189999999999998,81,35,3.66,GQ,1702593257
234,ghat,24.9626,10.1797,16.670000000000016,16,50,2.88,LY,1702593258
235,yuzhno-kurilsk,44.0271,145.8614,-2.839999999999975,69,100,8.65,RU,1702593259
236,mili,37.5536,22.7169,14.439999999999998,84,3,2.14,GR,1702593260
237,timbuktu,16.7719,-3.0087,20.060000000000002,17,48,4.75,ML,1702593261
238,enewetak,11.3409,162.3245,27.620000000000005,80,94,9.43,MH,1702593262
239,saint-pierre,48.3833,7.4719,7.050000000000011,87,92,1.73,FR,1702593264
240,rudnichnyy,59.6987,60.2884,-13.579999999999984,90,100,1.64,RU,1702593265
241,watton,52.5699,0.8253,7.090000000000032,96,19,3.18,GB,1702593266
242,misratah,32.3745,15.0905,18.52000000000004,70,0,6.35,LY,1702593267
243,cabo san lucas,22.8905,-109.9167,30.129999999999995,24,0,4.12,MX,1702592972
244,tibu,1.0735,121.7081,26.439999999999998,83,100,0.63,ID,1702593270
245,uzhur,55.3197,89.8424,-21.899999999999977,92,100,2.29,RU,1702593271
246,ust'-ilimsk,57.9595,102.7342,-22.819999999999965,97,100,2.42,RU,1702593272
247,kosciusko,33.0576,-89.5876,16.79000000000002,61,6,2.61,US,1702593273
248,keflavik,63.9998,-22.5565,1.9500000000000455,75,75,18.01,IS,1702593274
249,saint john,45.2788,-66.058,-3.089999999999975,63,0,2.57,CA,1702593275
250,lang suan,9.9525,99.0749,25.57000000000005,84,26,2.26,TH,1702593276
251,udachny,66.4118,112.2517,-30.119999999999976,74,98,1.79,RU,1702593277
252,saipan,15.191,145.7467,25.110000000000014,78,40,8.23,US,1702593279
253,fort bragg,35.1403,-79.1541,10.050000000000011,32,0,1.54,US,1702593279
254,puerto deseado,-47.7516,-65.9013,20.470000000000027,25,63,13.5,AR,1702593280
255,kruisfontein,-34.012,24.7433,15.550000000000011,85,86,1.88,ZA,1702593281
256,utete,-19.4529,31.796,22.07000000000005,82,86,1.62,ZW,1702593282
257,alotau,-10.3061,150.4464,29.460000000000036,71,100,2.33,PG,1702593283
258,santa ana,33.7495,-117.8732,25.910000000000025,26,20,2.57,US,1702593284
259,bardai,21.355,17.0005,14.189999999999998,25,0,0.24,TD,1702593285
260,summerland,49.6,-119.6667,3.160000000000025,88,100,5.14,CA,1702593286
261,nyagan,62.1446,65.4349,-13.539999999999964,90,100,2.24,RU,1702593287
262,pingdingshan,33.7385,113.3012,-1.579999999999984,69,74,8.59,CN,1702593024
263,morondava,-20.2951,44.2786,26.850000000000023,83,25,1.17,MG,1702593288
264,saint-philippe,45.3584,-73.479,1.1899999999999977,70,100,5.66,CA,1702593289
265,san juan,18.4653,-66.1167,26.890000000000043,75,75,6.17,US,1702593124
266,tsengel,48.9523,89.1462,-26.46999999999997,69,1,1.93,MN,1702593291
267,raja,15.2992,-61.3873,23.010000000000048,76,89,5.11,DM,1702593292
268,morehead city,34.7229,-76.726,7.78000000000003,60,0,2.57,US,1702593093
269,fauske,67.2367,15.7844,-10.739999999999952,85,76,4.93,NO,1702593293
270,nuku'alofa,-21.1343,-175.2018,27.189999999999998,83,75,5.14,TO,1702593294
271,pacific grove,36.6211,-121.9178,18.960000000000036,74,0,2.06,US,1702593295
272,karapinar,42.3458,27.1809,12.060000000000002,80,100,3.43,BG,1702593296
273,manokwari,-0.8614,134.0767,27.379999999999995,78,96,2.36,ID,1702593297
